Model	noropenbookqa_nb_use_fact (acc)	delta (acc)	Rank
@extended	45.0	xmark	2
@extendedscratch	43.61	xmark	3
@base	45.0	xmark	1
@basescratch	41.67	xmark	5
@fiction	39.44	--2.2	12
@nonfiction	40.0	--1.7	10
@factual	40.56	--1.1	9
@newspapers	39.72	--2.0	11
@books	41.39	--0.3	6
@rightholders	42.5	+0.8	4
@untranslatedwithnewspapers	39.44	--2.2	13
@untranslated	40.83	--0.8	8
@translated	41.11	--0.6	7
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	58.89	xmark	2
@extendedscratch	45.83	xmark	3
@base	63.33	xmark	1
@basescratch	42.5	xmark	11
@fiction	43.33	+0.8	6
@nonfiction	44.44	+1.9	5
@factual	42.5	-0.0	9
@newspapers	42.78	+0.3	8
@books	42.78	+0.3	7
@rightholders	41.39	--1.1	13
@untranslatedwithnewspapers	41.67	--0.8	12
@untranslated	42.5	-0.0	10
@translated	45.0	+2.5	4
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	54.17	xmark	2
@extendedscratch	43.33	xmark	3
@base	61.94	xmark	1
@basescratch	42.5	xmark	4
@fiction	42.22	--0.3	5
@nonfiction	41.39	--1.1	8
@factual	41.39	--1.1	7
@newspapers	40.83	--1.7	9
@books	41.94	--0.6	6
@rightholders	40.83	--1.7	10
@untranslatedwithnewspapers	40.0	--2.5	13
@untranslated	40.0	--2.5	12
@translated	40.83	--1.7	11
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	57.78	xmark	2
@extendedscratch	46.11	xmark	3
@base	63.33	xmark	1
@basescratch	44.44	xmark	12
@fiction	45.56	+1.1	6
@nonfiction	45.28	+0.8	9
@factual	45.83	+1.4	4
@newspapers	45.0	+0.6	10
@books	45.56	+1.1	5
@rightholders	45.56	+1.1	7
@untranslatedwithnewspapers	45.56	+1.1	8
@untranslated	44.17	--0.3	13
@translated	44.72	+0.3	11
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
