Model	noropenbookqa_nn (acc)	delta (acc)	Rank
@extended	31.11	xmark	12
@extendedscratch	35.56	xmark	1
@base	30.0	xmark	13
@basescratch	32.22	xmark	11
@fiction	32.22	-0.0	5
@nonfiction	32.22	-0.0	6
@factual	32.22	-0.0	4
@newspapers	33.33	+1.1	2
@books	32.22	-0.0	3
@rightholders	32.22	-0.0	7
@untranslatedwithnewspapers	32.22	-0.0	10
@untranslated	32.22	-0.0	9
@translated	32.22	-0.0	8
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	32.22	xmark	3
@extendedscratch	30.0	xmark	6
@base	32.22	xmark	2
@basescratch	28.89	xmark	10
@fiction	31.11	+2.2	5
@nonfiction	27.78	--1.1	11
@factual	28.89	-0.0	7
@newspapers	26.67	--2.2	12
@books	31.11	+2.2	4
@rightholders	32.22	+3.3	1
@untranslatedwithnewspapers	28.89	-0.0	9
@untranslated	26.67	--2.2	13
@translated	28.89	-0.0	8
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	31.11	xmark	9
@extendedscratch	31.11	xmark	10
@base	36.67	xmark	1
@basescratch	31.11	xmark	8
@fiction	33.33	+2.2	3
@nonfiction	30.0	--1.1	12
@factual	31.11	-0.0	5
@newspapers	35.56	+4.5	2
@books	30.0	--1.1	11
@rightholders	30.0	--1.1	13
@untranslatedwithnewspapers	31.11	-0.0	7
@untranslated	33.33	+2.2	4
@translated	31.11	-0.0	6
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	33.33	xmark	2
@extendedscratch	32.22	xmark	3
@base	34.44	xmark	1
@basescratch	26.67	xmark	11
@fiction	27.78	+1.1	8
@nonfiction	23.33	--3.3	14
@factual	27.78	+1.1	7
@newspapers	30.0	+3.3	4
@books	25.56	--1.1	12
@rightholders	30.0	+3.3	5
@untranslatedwithnewspapers	27.78	+1.1	9
@untranslated	28.89	+2.2	6
@translated	26.67	-0.0	10
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
Random	25.0	xmark	13
