Model	noropenbookqa_nn_use_fact (acc)	delta (acc)	Rank
@extended	37.78	xmark	1
@extendedscratch	34.44	xmark	3
@base	36.67	xmark	2
@basescratch	32.22	xmark	13
@fiction	32.22	-0.0	6
@nonfiction	32.22	-0.0	8
@factual	32.22	-0.0	5
@newspapers	32.22	-0.0	7
@books	32.22	-0.0	4
@rightholders	32.22	-0.0	9
@untranslatedwithnewspapers	32.22	-0.0	12
@untranslated	32.22	-0.0	11
@translated	32.22	-0.0	10
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	46.67	xmark	2
@extendedscratch	32.22	xmark	11
@base	47.78	xmark	1
@basescratch	34.44	xmark	8
@fiction	34.44	-0.0	5
@nonfiction	31.11	--3.3	13
@factual	34.44	-0.0	4
@newspapers	31.11	--3.3	12
@books	34.44	-0.0	3
@rightholders	33.33	--1.1	9
@untranslatedwithnewspapers	33.33	--1.1	10
@untranslated	34.44	-0.0	7
@translated	34.44	-0.0	6
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	51.11	xmark	1
@extendedscratch	33.33	xmark	5
@base	46.67	xmark	2
@basescratch	31.11	xmark	9
@fiction	30.0	--1.1	11
@nonfiction	30.0	--1.1	12
@factual	32.22	+1.1	6
@newspapers	31.11	-0.0	7
@books	30.0	--1.1	10
@rightholders	28.89	--2.2	13
@untranslatedwithnewspapers	31.11	-0.0	8
@untranslated	34.44	+3.3	4
@translated	37.78	+6.7	3
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
@extended	53.33	xmark	1
@extendedscratch	34.44	xmark	12
@base	52.22	xmark	2
@basescratch	34.44	xmark	11
@fiction	35.56	+1.1	8
@nonfiction	34.44	-0.0	10
@factual	36.67	+2.2	4
@newspapers	33.33	--1.1	13
@books	37.78	+3.3	3
@rightholders	35.56	+1.1	9
@untranslatedwithnewspapers	36.67	+2.2	7
@untranslated	36.67	+2.2	6
@translated	36.67	+2.2	5
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
Random	25.0	xmark	14
